environment.time,calcium_concentration.Cai,calcium_concentration.CaJSR,calcium_concentration.Cass,calcium_fluxes.J_rel,calcium_fluxes.J_up,membrane.V,non_inactivating_steady_state_potassium_current.i_Kss,sodium_calcium_exchange_current.i_NaCa,sodium_concentration.Nai,,,,39.16683597,0,0.391778304,0.271834143
2.02E+03,1.23E-01,7.42E+02,4.57E+00,6.05E+01,1.86E-02,2.84E+00,3.42E+00,2.21E-01,1.71E+04,,,,,,,
2.02E+03,1.23E-01,7.42E+02,5.00E+00,7.18E+01,1.86E-02,2.47E+00,3.40E+00,2.20E-01,1.71E+04,,,,,,,
2.02E+03,1.23E-01,7.41E+02,5.60E+00,8.77E+01,1.87E-02,2.09E+00,3.39E+00,2.18E-01,1.71E+04,,,,,,,
2.02E+03,1.23E-01,7.41E+02,6.06E+00,1.00E+02,1.87E-02,1.88E+00,3.38E+00,2.17E-01,1.71E+04,,,,,,,
2.02E+03,1.23E-01,7.41E+02,6.66E+00,1.16E+02,1.88E-02,1.66E+00,3.37E+00,2.17E-01,1.71E+04,,,,,,,
2.02E+03,1.24E-01,7.41E+02,7.47E+00,1.38E+02,1.88E-02,1.45E+00,3.36E+00,2.16E-01,1.71E+04,,,,,,,
2.02E+03,1.24E-01,7.41E+02,8.10E+00,1.56E+02,1.89E-02,1.32E+00,3.36E+00,2.15E-01,1.71E+04,,,,,,,
2.02E+03,1.24E-01,7.41E+02,8.88E+00,1.77E+02,1.89E-02,1.19E+00,3.35E+00,2.15E-01,1.71E+04,,,,,,,
2.02E+03,1.24E-01,7.41E+02,9.80E+00,2.02E+02,1.89E-02,1.06E+00,3.35E+00,2.14E-01,1.71E+04,,,,,,,
2.02E+03,1.24E-01,7.40E+02,1.08E+01,2.29E+02,1.90E-02,9.29E-01,3.34E+00,2.14E-01,1.71E+04,,,,,,,
2.02E+03,1.24E-01,7.40E+02,1.15E+01,2.46E+02,1.90E-02,8.44E-01,3.34E+00,2.14E-01,1.71E+04,,,,,,,
2.02E+03,1.24E-01,7.40E+02,1.20E+01,2.61E+02,1.90E-02,7.59E-01,3.34E+00,2.13E-01,1.71E+04,,,,,,,
2.02E+03,1.24E-01,7.40E+02,1.25E+01,2.73E+02,1.91E-02,6.75E-01,3.33E+00,2.13E-01,1.71E+04,,,,,,,
2.02E+03,1.24E-01,7.40E+02,1.28E+01,2.80E+02,1.91E-02,5.90E-01,3.33E+00,2.13E-01,1.71E+04,,,,,,,
2.02E+03,1.24E-01,7.40E+02,1.30E+01,2.86E+02,1.92E-02,5.06E-01,3.33E+00,2.12E-01,1.71E+04,,,,,,,
2.02E+03,1.24E-01,7.39E+02,1.31E+01,2.89E+02,1.92E-02,4.21E-01,3.32E+00,2.12E-01,1.71E+04,,,,,,,
2.02E+03,1.24E-01,7.39E+02,1.32E+01,2.92E+02,1.92E-02,3.37E-01,3.32E+00,2.12E-01,1.71E+04,,,,,,,
2.02E+03,1.24E-01,7.39E+02,1.33E+01,2.93E+02,1.93E-02,2.53E-01,3.32E+00,2.11E-01,1.71E+04,,,,,,,
2.02E+03,1.24E-01,7.39E+02,1.34E+01,2.95E+02,1.93E-02,1.69E-01,3.31E+00,2.11E-01,1.71E+04,,,,,,,
2.02E+03,1.24E-01,7.39E+02,1.34E+01,2.96E+02,1.93E-02,8.48E-02,3.31E+00,2.11E-01,1.71E+04,,,,,,,
2.02E+03,1.25E-01,7.38E+02,1.35E+01,2.97E+02,1.94E-02,9.37E-04,3.31E+00,2.10E-01,1.71E+04,,,,,,,
2.02E+03,1.25E-01,7.38E+02,1.35E+01,2.98E+02,1.94E-02,-8.28E-02,3.30E+00,2.10E-01,1.71E+04,,,,,,,
2.02E+03,1.25E-01,7.38E+02,1.36E+01,3.00E+02,1.95E-02,-1.67E-01,3.30E+00,2.10E-01,1.71E+04,,,,,,,
2.02E+03,1.25E-01,7.38E+02,1.36E+01,3.01E+02,1.95E-02,-2.50E-01,3.30E+00,2.09E-01,1.71E+04,,,,,,,
2.02E+03,1.25E-01,7.38E+02,1.36E+01,3.02E+02,1.95E-02,-3.34E-01,3.29E+00,2.09E-01,1.71E+04,,,,,,,
2.02E+03,1.25E-01,7.38E+02,1.37E+01,3.03E+02,1.96E-02,-4.17E-01,3.29E+00,2.09E-01,1.71E+04,,,,,,,
2.02E+03,1.25E-01,7.37E+02,1.37E+01,3.04E+02,1.96E-02,-5.00E-01,3.29E+00,2.09E-01,1.71E+04,,,,,,,
2.02E+03,1.25E-01,7.37E+02,1.38E+01,3.05E+02,1.96E-02,-5.83E-01,3.28E+00,2.08E-01,1.71E+04,,,,,,,
2.02E+03,1.25E-01,7.37E+02,1.38E+01,3.07E+02,1.97E-02,-6.67E-01,3.28E+00,2.08E-01,1.71E+04,,,,,,,
2.02E+03,1.25E-01,7.37E+02,1.39E+01,3.08E+02,1.97E-02,-7.50E-01,3.28E+00,2.08E-01,1.71E+04,,,,,,,
2.02E+03,1.25E-01,7.37E+02,1.39E+01,3.09E+02,1.98E-02,-8.32E-01,3.28E+00,2.07E-01,1.71E+04,,,,,,,
2.02E+03,1.25E-01,7.36E+02,1.39E+01,3.10E+02,1.98E-02,-9.15E-01,3.27E+00,2.07E-01,1.71E+04,,,,,,,
2.02E+03,1.25E-01,7.36E+02,1.40E+01,3.11E+02,1.98E-02,-9.98E-01,3.27E+00,2.07E-01,1.71E+04,,,,,,,
2.02E+03,1.25E-01,7.36E+02,1.40E+01,3.12E+02,1.99E-02,-1.08E+00,3.27E+00,2.06E-01,1.71E+04,,,,,,,
2.02E+03,1.25E-01,7.36E+02,1.41E+01,3.13E+02,1.99E-02,-1.16E+00,3.26E+00,2.06E-01,1.71E+04,,,,,,,
2.02E+03,1.26E-01,7.36E+02,1.41E+01,3.14E+02,2.00E-02,-1.25E+00,3.26E+00,2.06E-01,1.71E+04,,,,,,,
2.02E+03,1.26E-01,7.35E+02,1.42E+01,3.15E+02,2.00E-02,-1.33E+00,3.26E+00,2.05E-01,1.71E+04,,,,,,,
2.02E+03,1.26E-01,7.35E+02,1.42E+01,3.16E+02,2.00E-02,-1.41E+00,3.25E+00,2.05E-01,1.71E+04,,,,,,,
2.02E+03,1.26E-01,7.35E+02,1.42E+01,3.17E+02,2.01E-02,-1.49E+00,3.25E+00,2.05E-01,1.71E+04,,,,,,,
2.02E+03,1.26E-01,7.35E+02,1.43E+01,3.18E+02,2.01E-02,-1.57E+00,3.25E+00,2.05E-01,1.71E+04,,,,,,,
2.02E+03,1.26E-01,7.35E+02,1.43E+01,3.20E+02,2.02E-02,-1.66E+00,3.24E+00,2.04E-01,1.71E+04,,,,,,,
2.02E+03,1.26E-01,7.35E+02,1.44E+01,3.21E+02,2.02E-02,-1.74E+00,3.24E+00,2.04E-01,1.71E+04,,,,,,,
2.02E+03,1.26E-01,7.34E+02,1.44E+01,3.22E+02,2.02E-02,-1.82E+00,3.24E+00,2.04E-01,1.71E+04,,,,,,,
2.02E+03,1.26E-01,7.34E+02,1.45E+01,3.23E+02,2.03E-02,-1.90E+00,3.23E+00,2.03E-01,1.71E+04,,,,,,,
2.02E+03,1.26E-01,7.34E+02,1.45E+01,3.24E+02,2.03E-02,-1.98E+00,3.23E+00,2.03E-01,1.71E+04,,,,,,,
2.02E+03,1.26E-01,7.34E+02,1.45E+01,3.25E+02,2.04E-02,-2.06E+00,3.23E+00,2.03E-01,1.71E+04,,,,,,,
2.02E+03,1.26E-01,7.34E+02,1.46E+01,3.26E+02,2.04E-02,-2.14E+00,3.22E+00,2.02E-01,1.71E+04,,,,,,,
2.02E+03,1.26E-01,7.33E+02,1.46E+01,3.27E+02,2.04E-02,-2.23E+00,3.22E+00,2.02E-01,1.71E+04,,,,,,,
2.02E+03,1.26E-01,7.33E+02,1.47E+01,3.29E+02,2.05E-02,-2.31E+00,3.22E+00,2.02E-01,1.71E+04,,,,,,,
2.02E+03,1.27E-01,7.33E+02,1.47E+01,3.30E+02,2.05E-02,-2.39E+00,3.21E+00,2.02E-01,1.71E+04,,,,,,,
2.02E+03,1.27E-01,7.33E+02,1.47E+01,3.31E+02,2.06E-02,-2.47E+00,3.21E+00,2.01E-01,1.71E+04,,,,,,,
2.02E+03,1.27E-01,7.33E+02,1.48E+01,3.32E+02,2.06E-02,-2.55E+00,3.21E+00,2.01E-01,1.71E+04,,,,,,,
2.02E+03,1.27E-01,7.32E+02,1.48E+01,3.33E+02,2.07E-02,-2.63E+00,3.20E+00,2.01E-01,1.71E+04,,,,,,,
2.02E+03,1.27E-01,7.32E+02,1.49E+01,3.34E+02,2.07E-02,-2.71E+00,3.20E+00,2.00E-01,1.71E+04,,,,,,,
2.02E+03,1.27E-01,7.32E+02,1.49E+01,3.35E+02,2.07E-02,-2.79E+00,3.20E+00,2.00E-01,1.71E+04,,,,,,,
2.02E+03,1.27E-01,7.32E+02,1.50E+01,3.36E+02,2.08E-02,-2.87E+00,3.20E+00,2.00E-01,1.71E+04,,,,,,,
2.02E+03,1.27E-01,7.32E+02,1.50E+01,3.37E+02,2.08E-02,-2.95E+00,3.19E+00,2.00E-01,1.71E+04,,,,,,,
2.02E+03,1.27E-01,7.31E+02,1.50E+01,3.38E+02,2.09E-02,-3.03E+00,3.19E+00,1.99E-01,1.71E+04,,,,,,,
2.02E+03,1.27E-01,7.31E+02,1.51E+01,3.39E+02,2.09E-02,-3.11E+00,3.19E+00,1.99E-01,1.71E+04,,,,,,,
2.02E+03,1.27E-01,7.31E+02,1.51E+01,3.40E+02,2.10E-02,-3.19E+00,3.18E+00,1.99E-01,1.71E+04,,,,,,,
2.02E+03,1.27E-01,7.31E+02,1.52E+01,3.41E+02,2.10E-02,-3.27E+00,3.18E+00,1.98E-01,1.71E+04,,,,,,,
2.02E+03,1.27E-01,7.31E+02,1.52E+01,3.42E+02,2.10E-02,-3.35E+00,3.18E+00,1.98E-01,1.71E+04,,,,,,,
2.02E+03,1.28E-01,7.30E+02,1.52E+01,3.43E+02,2.11E-02,-3.43E+00,3.17E+00,1.98E-01,1.71E+04,,,,,,,
2.02E+03,1.28E-01,7.30E+02,1.53E+01,3.44E+02,2.11E-02,-3.51E+00,3.17E+00,1.97E-01,1.71E+04,,,,,,,
2.02E+03,1.28E-01,7.30E+02,1.53E+01,3.46E+02,2.12E-02,-3.63E+00,3.17E+00,1.97E-01,1.71E+04,,,,,,,
2.02E+03,1.28E-01,7.30E+02,1.54E+01,3.48E+02,2.13E-02,-3.75E+00,3.16E+00,1.97E-01,1.71E+04,,,,,,,
2.02E+03,1.28E-01,7.29E+02,1.55E+01,3.49E+02,2.13E-02,-3.87E+00,3.16E+00,1.96E-01,1.71E+04,,,,,,,
2.02E+03,1.28E-01,7.29E+02,1.55E+01,3.52E+02,2.14E-02,-4.06E+00,3.15E+00,1.95E-01,1.71E+04,,,,,,,
2.02E+03,1.28E-01,7.28E+02,1.57E+01,3.56E+02,2.16E-02,-4.37E+00,3.14E+00,1.94E-01,1.71E+04,,,,,,,
2.02E+03,1.29E-01,7.27E+02,1.59E+01,3.60E+02,2.18E-02,-4.69E+00,3.12E+00,1.93E-01,1.71E+04,,,,,,,
2.02E+03,1.29E-01,7.26E+02,1.60E+01,3.64E+02,2.20E-02,-5.00E+00,3.11E+00,1.92E-01,1.71E+04,,,,,,,
2.02E+03,1.29E-01,7.25E+02,1.62E+01,3.67E+02,2.22E-02,-5.30E+00,3.10E+00,1.91E-01,1.71E+04,,,,,,,
2.02E+03,1.30E-01,7.24E+02,1.63E+01,3.71E+02,2.24E-02,-5.61E+00,3.09E+00,1.90E-01,1.71E+04,,,,,,,
2.02E+03,1.30E-01,7.23E+02,1.64E+01,3.75E+02,2.26E-02,-5.91E+00,3.08E+00,1.89E-01,1.71E+04,,,,,,,
2.02E+03,1.30E-01,7.23E+02,1.66E+01,3.79E+02,2.28E-02,-6.21E+00,3.06E+00,1.88E-01,1.71E+04,,,,,,,
2.02E+03,1.31E-01,7.22E+02,1.67E+01,3.82E+02,2.29E-02,-6.51E+00,3.05E+00,1.87E-01,1.71E+04,,,,,,,
2.02E+03,1.31E-01,7.21E+02,1.69E+01,3.86E+02,2.31E-02,-6.81E+00,3.04E+00,1.86E-01,1.71E+04,,,,,,,
2.02E+03,1.31E-01,7.20E+02,1.70E+01,3.89E+02,2.33E-02,-7.11E+00,3.03E+00,1.85E-01,1.71E+04,,,,,,,
2.02E+03,1.32E-01,7.19E+02,1.71E+01,3.93E+02,2.35E-02,-7.40E+00,3.02E+00,1.84E-01,1.71E+04,,,,,,,
2.02E+03,1.32E-01,7.18E+02,1.72E+01,3.96E+02,2.38E-02,-7.69E+00,3.00E+00,1.83E-01,1.71E+04,,,,,,,
2.02E+03,1.33E-01,7.17E+02,1.74E+01,4.00E+02,2.40E-02,-7.98E+00,2.99E+00,1.82E-01,1.71E+04,,,,,,,
2.02E+03,1.33E-01,7.16E+02,1.75E+01,4.03E+02,2.42E-02,-8.27E+00,2.98E+00,1.81E-01,1.71E+04,,,,,,,
2.02E+03,1.33E-01,7.15E+02,1.76E+01,4.06E+02,2.44E-02,-8.55E+00,2.97E+00,1.80E-01,1.71E+04,,,,,,,
2.02E+03,1.34E-01,7.14E+02,1.77E+01,4.09E+02,2.46E-02,-8.84E+00,2.96E+00,1.79E-01,1.71E+04,,,,,,,
2.02E+03,1.34E-01,7.12E+02,1.80E+01,4.16E+02,2.51E-02,-9.48E+00,2.93E+00,1.76E-01,1.71E+04,,,,,,,
2.02E+03,1.35E-01,7.10E+02,1.82E+01,4.23E+02,2.56E-02,-1.01E+01,2.91E+00,1.74E-01,1.71E+04,,,,,,,
2.02E+03,1.36E-01,7.07E+02,1.85E+01,4.29E+02,2.61E-02,-1.07E+01,2.88E+00,1.72E-01,1.71E+04,,,,,,,
2.02E+03,1.37E-01,7.05E+02,1.87E+01,4.35E+02,2.67E-02,-1.14E+01,2.86E+00,1.70E-01,1.71E+04,,,,,,,
2.02E+03,1.38E-01,7.03E+02,1.89E+01,4.41E+02,2.72E-02,-1.20E+01,2.84E+00,1.68E-01,1.71E+04,,,,,,,
2.02E+03,1.39E-01,7.00E+02,1.91E+01,4.47E+02,2.77E-02,-1.26E+01,2.81E+00,1.66E-01,1.71E+04,,,,,,,
2.02E+03,1.40E-01,6.98E+02,1.93E+01,4.52E+02,2.83E-02,-1.31E+01,2.79E+00,1.64E-01,1.71E+04,,,,,,,
2.02E+03,1.41E-01,6.95E+02,1.95E+01,4.56E+02,2.89E-02,-1.37E+01,2.77E+00,1.62E-01,1.71E+04,,,,,,,
2.02E+03,1.42E-01,6.93E+02,1.96E+01,4.61E+02,2.94E-02,-1.43E+01,2.74E+00,1.60E-01,1.71E+04,,,,,,,
2.02E+03,1.43E-01,6.90E+02,1.98E+01,4.65E+02,3.00E-02,-1.48E+01,2.72E+00,1.58E-01,1.71E+04,,,,,,,
2.02E+03,1.44E-01,6.88E+02,1.99E+01,4.69E+02,3.06E-02,-1.53E+01,2.70E+00,1.56E-01,1.71E+04,,,,,,,
2.02E+03,1.45E-01,6.85E+02,2.00E+01,4.72E+02,3.12E-02,-1.59E+01,2.68E+00,1.55E-01,1.71E+04,,,,,,,
2.02E+03,1.46E-01,6.83E+02,2.01E+01,4.75E+02,3.18E-02,-1.64E+01,2.66E+00,1.53E-01,1.71E+04,,,,,,,
2.02E+03,1.47E-01,6.80E+02,2.02E+01,4.78E+02,3.24E-02,-1.69E+01,2.64E+00,1.51E-01,1.71E+04,,,,,,,
2.02E+03,1.48E-01,6.79E+02,2.03E+01,4.80E+02,3.28E-02,-1.72E+01,2.63E+00,1.50E-01,1.71E+04,,,,,,,
2.02E+03,1.48E-01,6.77E+02,2.03E+01,4.82E+02,3.32E-02,-1.75E+01,2.62E+00,1.49E-01,1.71E+04,,,,,,,
2.02E+03,1.49E-01,6.76E+02,2.04E+01,4.83E+02,3.36E-02,-1.78E+01,2.60E+00,1.48E-01,1.71E+04,,,,,,,
2.02E+03,1.50E-01,6.74E+02,2.04E+01,4.85E+02,3.40E-02,-1.81E+01,2.59E+00,1.47E-01,1.71E+04,,,,,,,
2.02E+03,1.50E-01,6.72E+02,2.04E+01,4.86E+02,3.44E-02,-1.84E+01,2.58E+00,1.46E-01,1.71E+04,,,,,,,
2.02E+03,1.51E-01,6.71E+02,2.05E+01,4.87E+02,3.48E-02,-1.87E+01,2.57E+00,1.45E-01,1.71E+04,,,,,,,
2.02E+03,1.52E-01,6.69E+02,2.05E+01,4.89E+02,3.52E-02,-1.90E+01,2.56E+00,1.44E-01,1.71E+04,,,,,,,
2.02E+03,1.52E-01,6.68E+02,2.05E+01,4.90E+02,3.56E-02,-1.92E+01,2.55E+00,1.43E-01,1.71E+04,,,,,,,
2.02E+03,1.53E-01,6.66E+02,2.06E+01,4.91E+02,3.60E-02,-1.95E+01,2.53E+00,1.43E-01,1.71E+04,,,,,,,
2.02E+03,1.54E-01,6.64E+02,2.06E+01,4.92E+02,3.65E-02,-1.98E+01,2.52E+00,1.42E-01,1.71E+04,,,,,,,
2.02E+03,1.54E-01,6.63E+02,2.06E+01,4.92E+02,3.69E-02,-2.01E+01,2.51E+00,1.41E-01,1.71E+04,,,,,,,
2.02E+03,1.55E-01,6.61E+02,2.06E+01,4.93E+02,3.73E-02,-2.03E+01,2.50E+00,1.40E-01,1.71E+04,,,,,,,
2.02E+03,1.56E-01,6.60E+02,2.06E+01,4.94E+02,3.77E-02,-2.06E+01,2.49E+00,1.39E-01,1.71E+04,,,,,,,
2.02E+03,1.56E-01,6.58E+02,2.06E+01,4.94E+02,3.81E-02,-2.08E+01,2.48E+00,1.38E-01,1.71E+04,,,,,,,
2.02E+03,1.57E-01,6.56E+02,2.06E+01,4.95E+02,3.85E-02,-2.11E+01,2.47E+00,1.37E-01,1.71E+04,,,,,,,
2.02E+03,1.58E-01,6.55E+02,2.06E+01,4.95E+02,3.90E-02,-2.13E+01,2.46E+00,1.36E-01,1.71E+04,,,,,,,
2.02E+03,1.58E-01,6.53E+02,2.06E+01,4.96E+02,3.94E-02,-2.16E+01,2.45E+00,1.36E-01,1.71E+04,,,,,,,
2.02E+03,1.59E-01,6.52E+02,2.06E+01,4.96E+02,3.98E-02,-2.18E+01,2.44E+00,1.35E-01,1.71E+04,,,,,,,
2.02E+03,1.60E-01,6.50E+02,2.06E+01,4.96E+02,4.02E-02,-2.21E+01,2.43E+00,1.34E-01,1.71E+04,,,,,,,
2.02E+03,1.61E-01,6.48E+02,2.06E+01,4.97E+02,4.07E-02,-2.23E+01,2.42E+00,1.33E-01,1.71E+04,,,,,,,
2.02E+03,1.61E-01,6.47E+02,2.06E+01,4.97E+02,4.11E-02,-2.25E+01,2.41E+00,1.32E-01,1.71E+04,,,,,,,
2.02E+03,1.62E-01,6.45E+02,2.06E+01,4.97E+02,4.15E-02,-2.28E+01,2.40E+00,1.32E-01,1.71E+04,,,,,,,
2.02E+03,1.63E-01,6.44E+02,2.06E+01,4.97E+02,4.19E-02,-2.30E+01,2.39E+00,1.31E-01,1.71E+04,,,,,,,
2.02E+03,1.63E-01,6.42E+02,2.05E+01,4.97E+02,4.24E-02,-2.32E+01,2.39E+00,1.30E-01,1.71E+04,,,,,,,
2.02E+03,1.64E-01,6.41E+02,2.05E+01,4.97E+02,4.28E-02,-2.34E+01,2.38E+00,1.29E-01,1.71E+04,,,,,,,
2.02E+03,1.65E-01,6.39E+02,2.05E+01,4.97E+02,4.32E-02,-2.37E+01,2.37E+00,1.29E-01,1.71E+04,,,,,,,
2.02E+03,1.66E-01,6.37E+02,2.05E+01,4.97E+02,4.37E-02,-2.39E+01,2.36E+00,1.28E-01,1.71E+04,,,,,,,
2.02E+03,1.66E-01,6.36E+02,2.04E+01,4.96E+02,4.41E-02,-2.41E+01,2.35E+00,1.27E-01,1.71E+04,,,,,,,
2.02E+03,1.67E-01,6.34E+02,2.04E+01,4.96E+02,4.45E-02,-2.43E+01,2.34E+00,1.27E-01,1.71E+04,,,,,,,
2.02E+03,1.68E-01,6.33E+02,2.04E+01,4.96E+02,4.50E-02,-2.45E+01,2.33E+00,1.26E-01,1.71E+04,,,,,,,
2.03E+03,1.69E-01,6.30E+02,2.03E+01,4.95E+02,4.58E-02,-2.49E+01,2.32E+00,1.25E-01,1.71E+04,,,,,,,
2.03E+03,1.70E-01,6.27E+02,2.03E+01,4.94E+02,4.66E-02,-2.52E+01,2.31E+00,1.23E-01,1.71E+04,,,,,,,
2.03E+03,1.72E-01,6.24E+02,2.02E+01,4.94E+02,4.74E-02,-2.56E+01,2.29E+00,1.22E-01,1.71E+04,,,,,,,
2.03E+03,1.73E-01,6.21E+02,2.01E+01,4.93E+02,4.82E-02,-2.59E+01,2.28E+00,1.21E-01,1.71E+04,,,,,,,
2.03E+03,1.74E-01,6.19E+02,2.00E+01,4.91E+02,4.90E-02,-2.63E+01,2.26E+00,1.20E-01,1.71E+04,,,,,,,
2.03E+03,1.76E-01,6.16E+02,1.99E+01,4.90E+02,4.98E-02,-2.66E+01,2.25E+00,1.19E-01,1.71E+04,,,,,,,
2.03E+03,1.77E-01,6.13E+02,1.99E+01,4.89E+02,5.06E-02,-2.69E+01,2.24E+00,1.18E-01,1.71E+04,,,,,,,
2.03E+03,1.78E-01,6.10E+02,1.98E+01,4.88E+02,5.14E-02,-2.72E+01,2.23E+00,1.17E-01,1.71E+04,,,,,,,
2.03E+03,1.79E-01,6.08E+02,1.97E+01,4.86E+02,5.22E-02,-2.75E+01,2.21E+00,1.15E-01,1.71E+04,,,,,,,
2.03E+03,1.81E-01,6.05E+02,1.96E+01,4.85E+02,5.30E-02,-2.78E+01,2.20E+00,1.14E-01,1.71E+04,,,,,,,
2.03E+03,1.82E-01,6.02E+02,1.95E+01,4.83E+02,5.38E-02,-2.81E+01,2.19E+00,1.13E-01,1.71E+04,,,,,,,
2.03E+03,1.83E-01,6.00E+02,1.94E+01,4.81E+02,5.46E-02,-2.84E+01,2.18E+00,1.12E-01,1.71E+04,,,,,,,
2.03E+03,1.85E-01,5.97E+02,1.93E+01,4.80E+02,5.54E-02,-2.87E+01,2.17E+00,1.11E-01,1.71E+04,,,,,,,
2.03E+03,1.86E-01,5.95E+02,1.92E+01,4.78E+02,5.62E-02,-2.90E+01,2.16E+00,1.10E-01,1.71E+04,,,,,,,
2.03E+03,1.87E-01,5.92E+02,1.91E+01,4.76E+02,5.70E-02,-2.92E+01,2.15E+00,1.10E-01,1.71E+04,,,,,,,
2.03E+03,1.90E-01,5.87E+02,1.89E+01,4.73E+02,5.84E-02,-2.97E+01,2.13E+00,1.08E-01,1.71E+04,,,,,,,
2.03E+03,1.92E-01,5.83E+02,1.87E+01,4.69E+02,5.99E-02,-3.02E+01,2.11E+00,1.06E-01,1.71E+04,,,,,,,
2.03E+03,1.94E-01,5.78E+02,1.85E+01,4.65E+02,6.13E-02,-3.06E+01,2.09E+00,1.05E-01,1.71E+04,,,,,,,
2.03E+03,1.99E-01,5.69E+02,1.81E+01,4.58E+02,6.42E-02,-3.15E+01,2.05E+00,1.01E-01,1.71E+04,,,,,,,
2.03E+03,2.04E-01,5.60E+02,1.77E+01,4.50E+02,6.70E-02,-3.23E+01,2.02E+00,9.83E-02,1.71E+04,,,,,,,
2.03E+03,2.09E-01,5.52E+02,1.73E+01,4.42E+02,6.98E-02,-3.31E+01,1.99E+00,9.54E-02,1.71E+04,,,,,,,
2.03E+03,2.13E-01,5.43E+02,1.69E+01,4.34E+02,7.26E-02,-3.39E+01,1.96E+00,9.25E-02,1.71E+04,,,,,,,
2.03E+03,2.18E-01,5.35E+02,1.65E+01,4.26E+02,7.53E-02,-3.46E+01,1.93E+00,8.98E-02,1.71E+04,,,,,,,
2.03E+03,2.22E-01,5.27E+02,1.61E+01,4.18E+02,7.79E-02,-3.53E+01,1.90E+00,8.71E-02,1.71E+04,,,,,,,
2.03E+03,2.27E-01,5.20E+02,1.58E+01,4.10E+02,8.05E-02,-3.60E+01,1.87E+00,8.44E-02,1.71E+04,,,,,,,
2.03E+03,2.31E-01,5.13E+02,1.54E+01,4.02E+02,8.30E-02,-3.67E+01,1.85E+00,8.18E-02,1.71E+04,,,,,,,
2.03E+03,2.36E-01,5.05E+02,1.51E+01,3.94E+02,8.55E-02,-3.74E+01,1.82E+00,7.92E-02,1.71E+04,,,,,,,
2.03E+03,2.40E-01,4.99E+02,1.48E+01,3.87E+02,8.79E-02,-3.80E+01,1.79E+00,7.67E-02,1.71E+04,,,,,,,
2.03E+03,2.44E-01,4.92E+02,1.45E+01,3.80E+02,9.03E-02,-3.87E+01,1.77E+00,7.42E-02,1.71E+04,,,,,,,
2.03E+03,2.48E-01,4.85E+02,1.42E+01,3.73E+02,9.26E-02,-3.93E+01,1.74E+00,7.18E-02,1.71E+04,,,,,,,
2.03E+03,2.52E-01,4.79E+02,1.39E+01,3.66E+02,9.49E-02,-3.99E+01,1.72E+00,6.93E-02,1.71E+04,,,,,,,
2.03E+03,2.56E-01,4.73E+02,1.37E+01,3.59E+02,9.71E-02,-4.05E+01,1.69E+00,6.69E-02,1.71E+04,,,,,,,
2.03E+03,2.60E-01,4.67E+02,1.34E+01,3.52E+02,9.92E-02,-4.11E+01,1.67E+00,6.45E-02,1.71E+04,,,,,,,
2.03E+03,2.64E-01,4.61E+02,1.32E+01,3.46E+02,1.01E-01,-4.17E+01,1.65E+00,6.21E-02,1.71E+04,,,,,,,
2.03E+03,2.70E-01,4.53E+02,1.28E+01,3.37E+02,1.04E-01,-4.26E+01,1.61E+00,5.85E-02,1.71E+04,,,,,,,
2.03E+03,2.76E-01,4.44E+02,1.25E+01,3.28E+02,1.08E-01,-4.35E+01,1.57E+00,5.50E-02,1.71E+04,,,,,,,
2.03E+03,2.81E-01,4.36E+02,1.21E+01,3.19E+02,1.10E-01,-4.44E+01,1.54E+00,5.14E-02,1.71E+04,,,,,,,
2.03E+03,2.87E-01,4.29E+02,1.18E+01,3.10E+02,1.13E-01,-4.53E+01,1.50E+00,4.79E-02,1.71E+04,,,,,,,
2.03E+03,2.92E-01,4.21E+02,1.15E+01,3.02E+02,1.16E-01,-4.62E+01,1.47E+00,4.45E-02,1.71E+04,,,,,,,
2.03E+03,2.97E-01,4.14E+02,1.12E+01,2.95E+02,1.18E-01,-4.70E+01,1.44E+00,4.10E-02,1.71E+04,,,,,,,
2.03E+03,3.02E-01,4.08E+02,1.10E+01,2.87E+02,1.21E-01,-4.79E+01,1.40E+00,3.76E-02,1.71E+04,,,,,,,
2.03E+03,3.07E-01,4.01E+02,1.07E+01,2.80E+02,1.23E-01,-4.87E+01,1.37E+00,3.42E-02,1.71E+04,,,,,,,
2.03E+03,3.11E-01,3.95E+02,1.05E+01,2.73E+02,1.26E-01,-4.95E+01,1.34E+00,3.09E-02,1.71E+04,,,,,,,
2.03E+03,3.16E-01,3.89E+02,1.02E+01,2.67E+02,1.28E-01,-5.04E+01,1.30E+00,2.75E-02,1.71E+04,,,,,,,
2.03E+03,3.20E-01,3.83E+02,9.99E+00,2.60E+02,1.30E-01,-5.12E+01,1.27E+00,2.43E-02,1.71E+04,,,,,,,
2.03E+03,3.25E-01,3.77E+02,9.76E+00,2.54E+02,1.32E-01,-5.20E+01,1.24E+00,2.10E-02,1.71E+04,,,,,,,
2.03E+03,3.29E-01,3.72E+02,9.53E+00,2.48E+02,1.34E-01,-5.28E+01,1.21E+00,1.78E-02,1.71E+04,,,,,,,
2.03E+03,3.32E-01,3.67E+02,9.30E+00,2.41E+02,1.36E-01,-5.36E+01,1.17E+00,1.46E-02,1.71E+04,,,,,,,
2.03E+03,3.36E-01,3.62E+02,9.08E+00,2.35E+02,1.37E-01,-5.44E+01,1.14E+00,1.15E-02,1.71E+04,,,,,,,
